line	size		transaction item
29	14	:	11 20 23 24 51 52 60 61 62 73 74 76 80 97 
30	19	:	1 3 7 9 10 11 12 17 20 32 34 35 49 55 61 89 95 97 100 
31	55	:	2 3 4 5 6 7 9 15 16 17 18 19 23 25 27 28 30 33 34 36 38 40 41 46 47 49 50 52 54 56 57 58 59 60 62 66 68 69 70 72 75 78 79 80 82 83 85 86 87 89 91 93 98 99 100 
32	23	:	2 5 7 12 17 19 22 23 26 29 35 36 39 42 44 52 59 60 61 71 90 94 96 
33	39	:	1 2 5 7 11 12 13 17 19 20 22 23 25 26 29 35 36 39 40 42 44 48 49 50 52 55 59 60 61 64 68 71 82 84 87 90 91 94 96 
34	55	:	1 2 4 8 9 10 12 14 15 17 19 20 21 23 24 28 32 34 35 36 37 38 39 43 45 46 48 49 50 52 53 54 57 58 62 64 65 68 71 72 74 75 76 77 79 81 82 83 86 87 89 90 91 93 95 
35	10	:	8 9 38 39 45 49 52 74 75 91 
36	18	:	8 10 17 25 26 33 44 51 52 55 62 64 69 75 76 78 79 99 
37	32	:	1 3 4 8 10 14 17 19 20 21 24 27 32 33 35 37 43 48 51 52 54 57 58 65 68 72 75 81 82 83 84 95 
38	61	:	1 4 5 6 7 9 10 11 13 15 16 17 20 23 24 25 27 33 34 35 37 40 41 42 44 45 46 47 48 49 50 51 55 56 60 61 63 64 65 67 68 70 71 72 73 75 77 79 81 82 83 84 86 87 88 89 91 92 96 97 99 
39	36	:	2 5 7 8 12 17 18 19 21 22 23 26 29 35 36 39 42 44 49 52 53 55 56 59 60 61 63 67 71 74 77 80 90 94 96 100 
40	35	:	3 6 9 14 17 18 19 25 28 31 35 42 43 47 49 50 52 53 57 62 65 67 69 70 71 73 74 77 79 84 87 90 93 96 100 
41	55	:	2 4 5 6 7 9 11 15 18 19 20 23 24 29 30 31 34 37 40 41 43 45 46 50 51 56 57 58 60 63 65 66 67 68 69 70 71 72 73 76 77 79 80 82 83 84 85 86 87 88 89 90 91 95 98 
42	76	:	1 2 3 4 6 7 8 9 10 11 13 15 16 18 19 20 21 23 25 27 29 30 31 32 33 34 35 37 40 41 42 43 44 45 46 47 48 49 50 51 53 56 57 58 61 62 63 64 65 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 88 90 92 93 95 97 98 99 100 
43	29	:	2 4 8 9 10 11 15 18 23 25 26 31 32 33 34 46 53 62 69 73 75 78 82 84 87 88 89 95 96 
44	25	:	11 17 19 20 21 22 26 34 35 37 41 43 48 50 53 54 55 57 58 62 74 81 85 86 96 
45	40	:	3 4 6 11 13 14 19 20 21 23 24 29 30 35 38 41 51 52 56 59 60 61 62 63 72 73 74 75 76 80 81 82 83 84 85 88 94 96 97 98 
46	61	:	3 4 6 7 8 9 11 12 15 17 18 19 20 21 22 25 26 28 29 31 33 35 36 37 39 41 42 43 46 50 51 53 54 55 56 57 60 62 67 68 69 71 72 73 74 77 78 80 83 84 85 86 87 88 89 90 92 93 96 97 100 
47	32	:	1 4 5 10 14 16 18 21 26 32 42 43 54 58 60 64 65 66 68 72 75 78 80 81 82 83 86 87 88 91 93 95 
48	11	:	4 6 11 34 37 40 45 56 63 73 89 
49	24	:	8 19 21 23 24 32 34 35 37 42 43 46 48 50 53 57 58 62 65 81 88 92 94 100 
50	58	:	1 3 6 7 8 9 10 11 12 17 18 19 20 22 24 25 27 28 29 31 32 33 34 35 37 48 49 51 52 53 54 55 56 57 59 61 63 64 66 67 68 69 70 72 74 75 78 81 83 84 88 89 94 95 97 98 99 100 
51	21	:	8 10 12 23 30 31 35 37 40 41 42 43 44 56 57 60 68 76 86 93 96 
52	26	:	4 8 10 14 21 23 24 32 42 43 46 54 58 62 65 68 72 75 81 82 83 88 92 94 95 100 
53	13	:	11 13 29 32 43 56 68 71 73 76 77 79 83 
54	77	:	1 2 3 5 6 7 8 9 10 11 12 14 15 16 17 18 19 20 21 23 24 25 26 27 28 29 30 32 33 34 35 36 38 40 42 43 44 45 46 48 49 50 51 54 56 57 58 60 61 62 63 64 65 68 69 70 71 72 73 74 75 76 77 78 80 83 84 86 87 88 89 91 95 96 97 98 99 
55	30	:	4 7 8 10 11 17 20 25 26 29 33 35 38 44 51 52 53 55 58 62 64 69 75 76 78 79 89 90 93 99 
56	43	:	3 10 11 12 14 15 19 20 23 24 28 29 31 34 35 42 44 47 49 51 52 53 57 60 61 62 64 65 70 71 72 73 74 76 77 79 80 84 90 91 92 96 97 
57	18	:	3 7 8 12 26 28 35 37 39 68 69 71 73 74 80 84 92 97 
58	42	:	8 9 10 12 21 23 29 30 31 35 36 37 38 39 40 41 42 43 44 45 49 51 52 55 56 57 60 67 68 72 74 75 76 77 83 85 86 88 90 91 93 96 
59	39	:	1 3 4 8 10 11 14 17 19 20 21 23 24 27 29 32 33 35 37 42 43 48 51 52 54 57 58 62 64 65 68 72 75 81 82 83 84 95 97 
60	28	:	1 4 5 10 14 18 21 28 32 42 43 49 52 54 58 59 62 65 66 67 68 72 75 79 81 82 83 95 
61	39	:	1 4 6 7 10 12 13 14 15 18 19 22 24 25 26 29 31 33 34 35 41 42 44 45 49 51 52 59 61 62 65 70 71 79 88 92 93 94 96 
62	35	:	3 4 7 10 11 13 14 18 21 23 25 29 35 38 41 42 48 51 52 56 57 59 62 64 72 81 82 83 84 88 92 93 94 97 98 
63	39	:	3 8 9 11 13 14 15 16 19 23 25 26 27 29 31 35 37 43 50 51 60 61 62 69 71 75 76 77 80 82 83 84 88 89 91 93 95 97 100 
64	32	:	1 2 4 7 15 20 24 28 30 32 34 40 41 43 45 50 51 57 58 64 65 67 68 69 71 73 75 76 79 87 90 93 
65	55	:	1 2 3 4 7 8 10 11 14 17 18 19 20 24 25 26 29 30 33 36 37 39 42 44 45 46 47 49 51 52 54 55 56 58 59 62 63 64 67 69 74 75 76 78 79 87 89 90 91 92 93 94 95 96 99 
66	78	:	1 2 3 5 6 7 8 10 11 16 17 18 19 20 21 24 25 26 27 29 30 32 33 34 35 36 37 39 41 42 44 45 46 48 49 51 52 53 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 73 74 75 76 77 78 79 80 82 83 84 86 88 90 91 92 93 94 95 96 97 98 99 100 
67	17	:	4 7 9 10 12 20 31 32 39 45 53 58 71 75 80 84 87 
68	66	:	1 2 4 5 6 7 9 10 11 15 16 17 18 23 24 25 26 27 28 29 32 33 34 35 36 40 41 42 43 44 45 46 48 49 50 51 53 54 57 58 59 62 63 64 65 66 68 71 72 73 75 76 77 78 79 82 83 84 86 87 91 93 94 95 97 98 
69	45	:	4 6 7 8 9 10 12 14 20 28 30 31 32 34 36 37 38 39 45 46 47 49 51 53 56 58 60 61 63 67 71 73 74 75 76 77 78 80 81 82 84 87 91 97 99 
70	50	:	2 4 5 7 9 11 12 13 14 15 17 19 22 23 26 28 29 32 35 36 39 42 43 44 50 52 56 59 60 61 62 63 66 68 69 71 72 73 75 76 77 79 83 84 86 88 90 91 94 96 
71	19	:	1 3 7 9 10 11 12 17 20 32 34 35 49 55 61 89 95 97 100 
72	69	:	1 2 3 4 6 7 8 9 10 11 12 13 16 17 20 21 22 23 25 26 27 28 30 31 32 33 34 35 36 37 38 41 42 43 44 46 47 49 51 52 55 58 60 61 62 63 65 67 68 70 71 72 73 75 76 77 78 79 83 85 86 87 89 91 95 97 98 99 100 
73	59	:	3 4 6 7 8 11 12 13 16 19 21 23 25 26 27 28 30 33 34 35 37 39 40 41 42 43 44 45 46 47 50 51 53 56 60 63 64 67 68 69 71 73 74 76 77 80 81 82 84 86 87 89 90 91 92 94 95 97 99 
74	61	:	1 3 4 8 10 11 12 13 17 18 20 21 23 25 26 27 29 30 31 32 33 35 36 37 38 40 41 42 43 44 47 48 49 50 51 55 56 57 59 60 61 63 64 68 70 72 76 79 81 82 83 84 86 87 88 91 93 96 98 99 100 
75	52	:	5 7 8 10 12 14 18 21 23 24 26 29 30 31 35 37 40 41 42 43 44 45 48 50 53 55 56 57 58 59 60 61 62 67 68 69 71 75 76 78 79 83 85 86 87 88 89 92 93 94 96 100 
76	37	:	3 4 9 10 12 13 20 21 24 26 29 33 35 36 37 38 41 48 51 56 59 65 67 68 69 71 72 73 81 82 83 84 86 88 89 98 100 
77	31	:	2 14 18 19 24 29 30 32 33 40 43 44 46 47 49 50 51 60 63 64 68 70 73 74 75 80 83 91 95 98 100 
78	16	:	5 24 25 26 33 37 44 52 56 62 63 65 68 71 86 100 
79	48	:	4 5 6 7 8 9 13 15 17 23 25 27 30 32 33 34 37 38 39 40 41 43 45 49 50 52 53 57 58 60 62 63 68 72 73 74 75 78 79 82 83 84 86 87 88 89 91 93 
80	44	:	1 5 10 11 12 14 15 18 19 20 24 29 30 32 33 34 35 40 42 43 44 46 49 59 60 63 64 65 68 71 72 73 74 75 78 79 80 85 89 91 92 95 96 97 
81	34	:	3 6 8 9 11 13 16 19 25 27 32 34 35 37 43 50 51 53 57 62 63 68 69 72 75 76 78 82 83 84 88 89 93 95 
82	47	:	4 5 8 11 12 14 18 21 22 23 25 27 30 31 32 36 37 38 39 45 48 49 50 51 52 53 54 55 56 57 61 63 66 67 69 72 73 74 76 77 80 81 83 92 95 99 100 
83	18	:	18 21 24 31 43 45 67 69 71 75 76 78 83 85 88 89 92 100 
84	53	:	3 4 5 6 8 9 10 11 12 16 19 20 21 22 23 25 27 30 31 33 36 37 38 41 45 47 48 49 51 52 54 56 58 61 62 64 65 66 67 69 71 73 75 76 79 80 85 89 90 92 96 98 99 
85	24	:	5 6 14 24 30 32 33 40 41 42 43 44 46 47 49 50 53 63 64 73 74 75 80 95 
86	21	:	1 4 5 6 29 31 36 44 45 46 52 59 62 66 71 73 74 78 81 97 99 
87	44	:	4 6 7 8 9 11 14 15 26 28 31 34 35 36 37 39 40 45 46 47 50 56 61 62 63 66 67 68 69 72 73 74 75 76 78 80 82 84 86 88 89 91 96 99 
88	36	:	5 7 8 9 15 24 31 32 36 39 40 45 46 47 49 51 56 61 62 63 67 71 73 74 76 78 80 81 82 88 89 91 96 97 99 100 
89	35	:	3 4 8 10 13 17 21 25 26 29 33 35 38 41 44 51 52 55 56 59 62 64 69 72 75 76 78 79 81 82 83 84 88 98 99 
90	48	:	1 2 5 6 8 14 15 18 19 22 24 27 28 30 32 36 37 41 42 45 46 50 52 53 54 55 56 57 58 59 62 63 67 71 72 75 76 81 83 85 87 89 91 93 94 95 96 99 
91	61	:	1 4 5 8 10 11 13 14 16 17 18 19 20 21 22 23 26 27 29 30 32 33 38 39 41 42 43 45 48 54 55 56 58 60 61 62 64 65 66 68 72 73 74 75 76 77 78 80 81 82 83 85 86 87 88 90 91 93 95 96 97 
92	38	:	2 4 5 9 11 15 17 23 25 27 30 31 32 33 38 39 46 53 56 58 60 62 63 64 68 73 78 80 83 86 87 89 90 91 92 93 96 100 
93	53	:	1 2 4 5 6 8 10 11 13 14 16 18 19 21 24 27 30 31 32 34 35 37 43 44 45 46 56 62 63 64 67 68 69 70 71 72 75 76 78 80 81 83 85 87 88 89 90 91 92 94 96 98 100 
94	75	:	1 2 3 4 5 6 7 8 9 10 12 13 14 15 16 17 18 19 20 21 22 23 25 26 27 28 29 30 31 32 33 34 37 38 41 42 43 45 48 49 50 51 52 53 57 58 59 60 61 62 65 67 69 70 71 73 74 75 76 77 78 79 80 82 84 86 87 88 89 91 93 95 97 98 100 
95	37	:	3 6 8 10 12 15 19 20 24 27 29 30 33 34 35 41 42 44 47 49 51 60 64 65 67 71 72 80 83 84 85 91 92 93 98 99 100 
96	57	:	2 4 8 10 11 13 16 18 19 21 23 24 26 27 29 30 31 32 33 34 35 42 43 45 46 47 48 53 56 57 60 62 64 67 69 71 73 74 75 76 77 78 81 82 83 84 85 86 88 89 90 91 92 95 97 99 100 
97	19	:	6 14 28 30 34 36 37 38 47 49 51 60 63 67 71 77 81 91 97 
98	72	:	1 3 4 5 7 8 9 10 11 12 13 15 16 17 19 20 21 23 24 25 26 27 29 30 33 34 35 37 38 40 41 42 43 45 46 47 48 49 51 52 53 54 55 56 57 58 60 61 62 64 65 67 68 69 71 73 74 76 77 79 81 82 83 84 86 89 90 91 93 97 98 99 
99	37	:	2 5 7 8 10 12 17 18 19 22 23 26 29 32 34 35 36 39 42 44 52 53 59 60 61 69 71 73 75 82 84 88 89 90 94 95 96 
100	18	:	8 10 17 25 26 33 44 51 52 55 62 64 69 75 76 78 79 99 
101	57	:	1 4 5 7 9 10 11 14 15 17 18 20 21 24 26 28 29 32 35 36 38 39 40 42 43 45 49 51 52 53 54 55 58 59 62 65 66 67 68 71 72 75 79 80 81 82 83 88 89 90 91 93 95 96 97 99 100 
102	37	:	1 4 5 6 10 25 26 27 29 31 32 33 35 36 38 41 44 45 46 47 51 52 59 60 62 63 66 71 73 74 78 79 81 87 97 99 100 
103	55	:	1 2 4 5 7 9 11 12 13 15 17 19 20 21 22 23 24 25 26 29 31 33 34 35 36 39 41 42 44 46 49 51 52 53 54 55 59 60 61 62 71 73 74 76 78 79 80 85 86 87 89 90 94 96 97 
104	72	:	1 3 4 5 6 8 9 10 14 15 18 20 21 22 26 27 28 29 30 32 33 35 36 37 38 39 42 43 45 48 49 50 52 53 54 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 75 76 77 78 79 81 82 83 84 86 88 91 92 93 94 95 96 97 98 99 
105	40	:	4 9 11 13 14 15 20 25 30 31 32 33 35 40 42 43 44 45 46 49 50 53 56 62 63 64 69 72 73 74 75 78 80 81 87 89 92 95 96 99 
106	28	:	6 14 19 21 28 30 34 35 36 37 38 43 47 48 49 50 51 53 57 58 60 63 67 71 77 81 91 97 
107	60	:	1 2 4 5 6 8 10 11 14 15 18 20 22 24 25 26 27 28 29 30 32 33 34 35 36 37 38 40 41 42 43 44 45 47 48 50 51 53 55 59 60 61 63 64 67 68 76 78 79 83 85 86 87 89 91 95 96 97 99 100 
108	52	:	1 2 3 4 5 6 8 10 11 13 15 16 18 23 26 27 29 31 32 33 34 35 36 37 42 43 44 45 46 48 50 58 63 64 65 67 68 70 71 72 73 75 77 78 80 81 85 86 93 95 98 99 
109	50	:	2 3 4 5 6 8 11 15 17 18 19 21 22 27 30 33 34 37 38 39 40 41 42 45 47 49 53 54 55 56 61 63 66 67 71 73 74 77 78 80 84 85 89 91 93 94 96 98 99 100 
110	46	:	1 3 4 7 8 9 10 11 12 17 19 20 24 25 26 27 32 33 34 35 36 37 38 41 44 47 48 49 51 52 55 57 60 61 63 68 75 79 83 84 87 89 95 97 99 100 
111	14	:	11 17 20 21 22 26 41 54 55 62 74 85 86 96 
112	44	:	1 5 10 11 14 15 16 18 19 20 21 22 23 24 30 33 35 36 37 42 45 46 52 54 55 56 58 59 64 67 68 71 75 78 79 85 87 89 90 91 93 95 96 97 
113	75	:	2 3 5 6 7 8 9 10 12 14 15 16 17 18 19 20 21 23 24 25 28 29 30 31 33 34 37 40 41 42 43 44 45 46 50 51 52 53 54 57 58 59 62 63 65 66 67 68 69 71 72 73 74 75 76 78 79 80 81 82 83 85 86 87 88 89 90 91 92 93 94 95 96 98 100 
114	47	:	2 4 5 7 9 12 15 17 18 19 22 23 25 26 27 29 33 35 36 39 40 41 42 44 47 49 50 51 52 59 60 61 64 68 70 71 72 75 79 82 83 87 90 94 96 98 100 
115	14	:	5 6 14 24 30 40 41 42 43 47 50 53 64 95 
116	32	:	5 9 11 17 18 19 20 21 22 23 26 31 37 41 46 50 54 55 62 67 68 71 74 76 79 80 85 86 87 88 95 96 
117	64	:	1 2 3 4 5 6 7 8 10 12 13 14 15 16 18 19 21 22 26 27 28 29 30 31 33 34 36 37 38 39 41 42 45 47 49 51 53 54 55 56 58 59 60 61 62 63 67 68 71 73 74 75 77 79 80 81 85 88 91 95 96 97 99 100 
118	38	:	1 2 3 10 12 17 20 21 27 30 33 37 38 40 42 43 45 49 51 52 54 58 60 61 65 69 70 71 73 76 77 78 86 87 88 89 96 98 
119	52	:	1 2 4 7 10 12 14 17 18 20 21 25 29 32 36 40 42 43 45 49 51 52 54 55 56 57 58 60 62 65 67 68 69 71 72 74 75 76 77 81 82 83 85 87 88 89 90 92 93 94 95 96 
120	45	:	4 5 6 7 9 12 14 15 17 19 23 25 26 27 29 30 33 40 41 43 44 45 48 49 50 53 55 58 59 61 62 63 68 72 75 76 79 81 82 83 85 87 92 94 96 
121	39	:	1 2 4 5 7 8 9 10 11 13 15 16 17 23 25 27 31 33 34 35 37 40 41 43 44 46 49 67 68 70 71 72 75 78 79 82 83 87 98 
122	63	:	2 3 4 5 6 7 8 9 11 17 18 19 20 23 25 28 29 30 31 35 37 39 42 43 45 46 47 49 50 51 53 54 57 58 59 60 62 63 66 67 68 69 71 72 74 76 77 79 80 82 83 84 85 86 87 88 89 90 91 93 95 99 100 
123	65	:	2 4 6 7 8 9 10 12 15 16 17 18 20 22 23 24 25 26 28 32 33 34 36 37 38 39 41 42 45 46 47 48 49 50 52 53 55 56 57 58 60 62 65 67 68 69 71 72 73 74 75 79 82 83 84 85 86 88 89 91 92 94 95 99 100 
124	18	:	2 4 6 10 22 25 28 33 34 37 41 47 55 67 79 83 85 91 
125	35	:	6 9 14 17 18 19 25 28 30 34 36 37 38 42 43 47 49 50 51 53 57 60 62 63 67 69 71 74 77 81 87 91 93 97 100 
126	23	:	4 9 14 15 26 28 35 36 39 50 62 63 66 68 69 72 75 76 84 86 88 91 96 
127	12	:	19 21 34 35 37 43 48 50 53 57 58 81 
128	12	:	8 9 10 12 20 23 37 52 62 65 79 89 
129	38	:	2 3 5 13 15 16 17 18 21 22 29 37 38 42 48 49 51 52 53 54 56 62 65 66 67 70 71 76 78 83 84 91 93 94 96 97 99 100 
130	33	:	3 5 13 16 17 18 21 23 29 48 49 50 51 52 54 59 62 65 66 67 70 75 76 78 82 83 86 91 93 94 97 99 100 
131	31	:	5 18 21 24 25 26 31 33 37 43 44 45 52 56 62 63 65 67 68 69 71 75 76 78 83 85 86 88 89 92 100 
132	20	:	4 5 7 9 15 17 23 25 27 33 40 41 49 68 72 75 79 82 83 87 
133	77	:	1 2 3 5 7 8 9 10 11 15 16 18 20 21 23 24 27 29 30 31 32 33 35 36 37 38 39 40 42 44 45 46 47 48 49 51 52 53 54 55 56 58 59 60 61 62 63 65 66 67 68 70 71 72 73 74 76 77 78 79 80 81 82 84 85 86 88 89 91 92 93 95 96 97 98 99 100 
134	42	:	1 2 3 5 8 10 11 18 20 27 29 30 33 39 41 44 45 46 48 49 51 53 61 65 66 70 73 74 75 76 78 82 86 88 91 92 93 95 96 97 98 100 
135	36	:	3 5 6 13 16 17 18 21 27 29 32 37 42 48 49 51 52 53 59 60 62 64 65 67 70 76 78 83 91 92 93 94 96 97 99 100 
136	76	:	3 4 5 6 7 8 9 10 11 13 15 17 18 19 20 21 22 23 24 25 26 27 28 30 31 32 33 36 37 39 41 42 43 44 45 46 49 50 51 52 53 54 55 56 57 58 60 61 62 63 64 65 66 67 68 71 74 75 76 77 79 80 81 84 85 86 87 88 89 92 93 94 95 96 98 100 
137	35	:	10 11 12 13 15 16 19 21 24 27 29 30 32 34 42 43 44 56 60 64 65 68 71 72 73 74 76 77 79 82 83 86 90 91 92 
138	79	:	1 3 4 5 6 7 8 9 10 11 13 14 15 16 17 19 20 21 22 23 24 25 26 27 31 32 33 34 35 38 39 40 41 43 44 45 47 49 50 51 52 54 55 56 58 60 61 62 63 64 65 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 88 91 92 93 95 96 99 100 
139	80	:	1 2 4 5 6 7 9 10 11 12 14 15 16 17 19 21 22 24 25 26 28 29 30 32 33 34 36 37 38 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 67 72 73 74 75 76 77 78 79 80 83 85 86 87 88 89 90 91 92 93 94 95 96 98 99 
140	13	:	6 14 19 30 62 63 72 75 76 81 85 94 96 
141	60	:	1 3 4 6 7 8 9 10 11 12 13 14 17 19 20 22 25 26 30 31 32 33 34 35 37 40 41 43 44 46 49 50 51 52 53 55 57 59 61 62 63 64 68 69 72 73 74 75 76 78 79 80 82 84 88 89 95 97 99 100 
142	29	:	4 5 8 9 11 15 18 21 25 31 33 39 46 49 53 55 56 61 62 63 67 74 77 78 80 87 89 96 100 
143	16	:	10 12 15 19 24 29 34 42 44 60 64 65 71 72 91 92 
144	10	:	18 22 36 41 52 55 73 79 81 93 
145	39	:	3 5 8 9 10 13 14 15 24 27 28 30 31 32 33 36 40 43 44 45 46 49 52 53 60 63 64 65 68 71 73 74 75 76 80 88 89 93 95 
146	51	:	2 6 8 9 10 11 12 15 18 20 23 24 26 32 33 34 35 36 37 41 44 45 48 51 52 53 60 61 62 65 67 68 69 70 71 72 73 74 75 76 80 82 84 86 88 89 92 95 96 97 100 
147	51	:	3 4 5 7 8 9 10 11 12 13 15 17 20 21 23 24 25 27 29 33 35 37 38 40 41 49 51 52 56 59 60 61 62 65 68 72 73 74 75 76 79 80 81 82 83 84 87 88 89 97 98 
148	43	:	1 2 3 7 8 9 10 11 12 15 17 18 19 20 28 29 30 32 33 34 35 41 44 45 46 49 53 55 58 59 61 71 73 74 75 76 88 89 92 95 97 98 100 
149	66	:	1 3 5 6 7 8 9 11 12 14 16 17 18 19 20 21 22 25 26 28 29 32 35 37 39 41 42 43 44 45 48 50 53 54 55 57 58 59 60 61 62 64 66 67 68 69 71 73 74 75 76 78 79 80 84 85 86 87 88 91 92 93 94 96 97 100 
150	11	:	7 14 18 25 29 42 52 62 92 93 94 
151	70	:	1 2 3 4 5 6 8 9 10 12 13 15 16 18 20 21 22 23 24 25 26 27 28 29 30 32 33 34 36 37 43 45 47 50 51 52 53 54 57 58 60 62 63 64 65 67 68 70 71 72 73 75 76 78 79 80 81 82 83 84 85 87 88 89 90 93 96 98 99 100 
152	14	:	1 5 18 28 42 49 52 54 59 62 66 67 79 83 
153	79	:	1 3 4 5 7 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 25 26 27 28 29 30 31 32 33 34 35 38 40 41 42 47 49 52 53 54 55 56 57 58 59 60 61 62 64 65 66 68 69 70 72 73 74 75 76 77 78 79 82 83 84 86 87 88 89 90 92 93 94 95 96 97 98 99 100 
154	47	:	2 4 6 7 10 11 15 17 20 22 25 26 28 29 33 34 35 36 37 38 41 42 46 47 48 50 52 53 55 58 63 64 65 67 73 77 78 79 83 85 86 89 90 91 93 95 98 
155	23	:	2 7 16 18 22 27 29 36 41 52 55 58 66 67 68 73 76 77 78 79 81 84 93 
156	79	:	1 2 3 4 5 6 8 9 10 11 14 15 18 19 20 21 23 24 26 27 28 29 30 31 32 34 35 36 37 39 40 41 42 43 45 46 47 49 50 51 52 53 54 56 57 58 59 62 63 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 82 83 84 85 86 88 89 90 91 92 93 95 96 97 100 
157	57	:	1 2 4 6 7 10 12 13 14 17 19 20 22 26 27 28 30 31 33 34 36 37 38 40 41 43 44 45 47 49 51 54 55 58 59 60 62 63 64 66 67 69 71 75 76 77 78 79 81 86 87 88 89 90 91 96 97 
