item_amount: 100
transaction: 2500
item_each_transaction: 40
min_support_ratio: 0.3
min_support: 750
confidence: 0.4
data generated: normal distribution N(50, 22.2222)


FP completed: 0h 4min 9s

count	support		item set
217	768	:	30 3 
218	765	:	19 3 
219	755	:	33 3 
220	835	:	35 3 
221	851	:	84 3 
222	799	:	73 3 
223	764	:	68 3 
224	874	:	29 3 
225	808	:	52 3 
226	848	:	49 3 
227	811	:	45 3 
228	859	:	51 3 
229	775	:	67 3 
230	833	:	76 3 
231	824	:	71 3 
232	1177	:	56 
233	754	:	60 56 
234	784	:	31 56 
235	830	:	37 56 
236	822	:	73 56 
237	764	:	68 56 
238	769	:	52 56 
239	766	:	49 56 
240	777	:	45 56 
241	766	:	51 56 
242	812	:	67 56 
243	806	:	76 56 
244	772	:	71 56 
245	1177	:	27 
246	821	:	30 27 
247	750	:	32 27 
248	804	:	33 27 
249	811	:	60 27 
250	784	:	5 27 
251	750	:	10 27 
252	805	:	68 27 
253	774	:	29 27 
254	767	:	52 27 
255	758	:	49 27 
256	809	:	45 27 
257	801	:	51 27 
258	772	:	67 27 
259	804	:	75 27 
260	850	:	76 27 
261	798	:	71 27 
262	1190	:	83 
263	770	:	35 83 
264	795	:	84 83 
265	760	:	5 83 
266	754	:	91 83 
267	763	:	4 83 
268	793	:	68 83 
269	823	:	29 83 
270	757	:	52 83 
271	808	:	49 83 
272	754	:	45 83 
273	864	:	51 83 
274	813	:	67 83 
275	812	:	75 83 
276	822	:	76 83 
277	773	:	71 83 
278	1180	:	18 
279	784	:	93 18 
280	798	:	100 18 
281	751	:	78 18 
282	765	:	53 18 
283	752	:	23 18 
284	835	:	5 18 
285	794	:	68 18 
286	775	:	62 18 
287	817	:	29 18 
288	794	:	52 18 
289	799	:	49 18 
290	760	:	45 18 
291	761	:	51 18 
292	860	:	67 18 
293	788	:	75 18 
294	804	:	76 18 
295	823	:	71 18 
296	1183	:	58 
297	760	:	20 58 
298	773	:	32 58 
299	772	:	53 58 
300	804	:	4 58 
301	753	:	10 58 
302	753	:	62 58 
303	779	:	29 58 
304	775	:	52 58 
305	764	:	49 58 
306	863	:	45 58 
307	750	:	51 58 
308	864	:	75 58 
309	807	:	76 58 
310	864	:	71 58 
311	1203	:	41 
312	783	:	30 41 
313	805	:	33 41 
314	795	:	4 41 
315	779	:	10 41 
316	794	:	68 41 
317	806	:	49 41 
318	778	:	51 41 
319	784	:	67 41 
320	751	:	75 41 
321	755	:	71 41 
322	1186	:	88 
323	778	:	100 88 
324	758	:	96 88 
325	759	:	53 88 
326	816	:	89 88 
327	831	:	31 88 
328	805	:	10 88 
329	808	:	68 88 
330	782	:	62 88 
331	808	:	29 88 
332	851	:	45 88 
333	828	:	51 88 
334	813	:	67 88 
335	774	:	75 88 
336	861	:	76 88 
337	873	:	71 88 
338	1194	:	15 
339	750	:	78 15 
340	777	:	96 15 
341	752	:	53 15 
342	820	:	89 15 
343	756	:	5 15 
344	768	:	91 15 
345	750	:	4 15 
346	819	:	68 15 
347	832	:	62 15 
348	776	:	49 15 
349	818	:	45 15 
350	770	:	51 15 
351	831	:	75 15 
352	799	:	76 15 
353	914	:	71 15 
354	1196	:	8 
355	762	:	19 8 
356	758	:	53 8 
357	801	:	35 8 
358	768	:	23 8 
359	795	:	84 8 
360	753	:	5 8 
361	752	:	31 8 
362	782	:	37 8 
363	843	:	10 8 
364	801	:	68 8 
365	791	:	62 8 
366	836	:	52 8 
367	758	:	49 8 
368	789	:	45 8 
369	783	:	51 8 
370	819	:	67 8 
371	856	:	75 8 
372	848	:	76 8 
373	839	:	71 8 
374	1205	:	50 
375	844	:	43 50 
376	792	:	53 50 
377	752	:	23 50 
378	802	:	84 50 
379	755	:	5 50 
380	751	:	4 50 
381	787	:	68 50 
382	824	:	62 50 
383	758	:	49 50 
384	796	:	45 50 
385	752	:	51 50 
386	824	:	75 50 
387	828	:	76 50 
388	780	:	71 50 
389	1199	:	20 
390	792	:	11 20 
391	797	:	89 20 
392	773	:	35 20 
393	774	:	84 20 
394	751	:	4 20 
395	804	:	10 20 
396	789	:	68 20 
397	797	:	29 20 
398	800	:	52 20 
399	832	:	49 20 
400	843	:	45 20 
401	823	:	51 20 
402	784	:	67 20 
403	753	:	75 20 
404	799	:	76 20 
405	828	:	71 20 
406	1208	:	43 
407	802	:	32 43 
408	752	:	78 43 
409	785	:	53 43 
410	763	:	35 43 
411	771	:	84 43 
412	751	:	37 43 
413	758	:	10 43 
414	848	:	68 43 
415	761	:	62 43 
416	769	:	49 43 
417	809	:	45 43 
418	796	:	51 43 
419	799	:	67 43 
420	879	:	75 43 
421	869	:	76 43 
422	847	:	71 43 
423	1215	:	30 
424	750	:	96 30 
425	773	:	33 30 
426	782	:	60 30 
427	760	:	5 30 
428	779	:	91 30 
429	786	:	73 30 
430	761	:	68 30 
431	802	:	29 30 
432	751	:	52 30 
433	832	:	49 30 
434	878	:	45 30 
435	797	:	51 30 
436	795	:	67 30 
437	798	:	75 30 
438	882	:	76 30 
439	846	:	71 30 
440	1216	:	26 
441	763	:	36 26 
442	775	:	89 26 
443	852	:	33 26 
444	805	:	35 26 
445	798	:	23 26 
446	813	:	84 26 
447	775	:	5 26 
448	761	:	91 26 
449	800	:	4 26 
450	760	:	37 26 
451	764	:	73 26 
452	770	:	10 26 
453	797	:	68 26 
454	868	:	62 26 
455	829	:	29 26 
456	796	:	52 26 
457	765	:	49 26 
458	793	:	45 26 
459	830	:	51 26 
460	837	:	75 26 
461	836	:	76 26 
462	868	:	71 26 
463	1217	:	42 
464	789	:	93 42 
465	773	:	78 42 
466	760	:	36 42 
467	783	:	96 42 
468	754	:	53 42 
469	769	:	35 42 
470	837	:	60 42 
471	763	:	5 42 
472	781	:	91 42 
473	785	:	37 42 
474	765	:	10 42 
475	758	:	68 42 
476	774	:	62 42 
477	828	:	29 42 
478	835	:	52 42 
479	761	:	45 42 
480	867	:	67 42 
481	865	:	71 42 
482	1221	:	11 
483	753	:	78 11 
484	790	:	89 11 
485	805	:	35 11 
486	784	:	23 11 
487	797	:	84 11 
488	760	:	31 11 
489	759	:	91 11 
490	865	:	4 11 
491	785	:	73 11 
492	786	:	68 11 
493	815	:	62 11 
494	797	:	29 11 
495	800	:	52 11 
496	809	:	49 11 
497	777	:	45 11 
498	836	:	51 11 
499	812	:	75 11 
500	850	:	76 11 
501	795	:	71 11 
502	1228	:	93 
503	759	:	19 93 
504	761	:	32 93 
505	773	:	78 93 
506	827	:	96 93 
507	788	:	53 93 
508	768	:	89 93 
509	764	:	35 93 
510	780	:	23 93 
511	754	:	84 93 
512	796	:	60 93 
513	777	:	5 93 
514	799	:	91 93 
515	777	:	37 93 
516	750	:	73 93 
517	799	:	68 93 
518	756	:	62 93 
519	831	:	29 93 
520	873	:	52 93 
521	821	:	49 93 
522	831	:	45 93 
523	804	:	51 93 
524	814	:	67 93 
525	836	:	75 93 
526	853	:	76 93 
527	863	:	71 93 
528	1234	:	100 
529	783	:	32 100 
530	806	:	89 100 
531	758	:	33 100 
532	791	:	60 100 
533	812	:	5 100 
534	811	:	31 100 
535	782	:	91 100 
536	766	:	37 100 
537	792	:	10 100 
538	800	:	68 100 
539	855	:	62 100 
540	819	:	29 100 
541	796	:	52 100 
542	885	:	49 100 
543	793	:	45 100 
544	873	:	51 100 
545	942	:	67 100 
546	767	:	71 67 100 
547	782	:	75 100 
548	823	:	76 100 
549	922	:	71 100 
550	1242	:	19 
551	764	:	96 19 
552	761	:	53 19 
553	804	:	35 19 
554	752	:	23 19 
555	769	:	84 19 
556	803	:	60 19 
557	765	:	5 19 
558	765	:	31 19 
559	782	:	91 19 
560	761	:	37 19 
561	753	:	73 19 
562	771	:	68 19 
563	778	:	62 19 
564	815	:	29 19 
565	852	:	52 19 
566	861	:	49 19 
567	770	:	45 19 
568	798	:	51 19 
569	830	:	67 19 
570	856	:	75 19 
571	834	:	76 19 
572	876	:	71 19 
573	1243	:	32 
574	773	:	53 32 
575	761	:	33 32 
576	753	:	35 32 
577	767	:	23 32 
578	794	:	84 32 
579	784	:	5 32 
580	766	:	4 32 
581	778	:	73 32 
582	813	:	10 32 
583	846	:	68 32 
584	803	:	62 32 
585	778	:	52 32 
586	813	:	49 32 
587	853	:	45 32 
588	800	:	51 32 
589	774	:	67 32 
590	885	:	75 32 
591	797	:	76 32 
592	838	:	71 32 
593	1247	:	78 
594	775	:	96 78 
595	769	:	53 78 
596	769	:	33 78 
597	778	:	5 78 
598	838	:	31 78 
599	754	:	91 78 
600	759	:	4 78 
601	825	:	37 78 
602	785	:	73 78 
603	762	:	10 78 
604	794	:	68 78 
605	793	:	62 78 
606	790	:	29 78 
607	820	:	52 78 
608	751	:	49 78 
609	835	:	45 78 
610	772	:	51 78 
611	828	:	67 78 
612	872	:	75 78 
613	875	:	76 78 
614	889	:	71 78 
615	1248	:	36 
616	826	:	96 36 
617	796	:	89 36 
618	750	:	23 36 
619	793	:	60 36 
620	776	:	5 36 
621	769	:	31 36 
622	772	:	91 36 
623	778	:	4 36 
624	779	:	37 36 
625	805	:	73 36 
626	816	:	10 36 
627	826	:	68 36 
628	797	:	62 36 
629	807	:	29 36 
630	898	:	52 36 
631	843	:	49 36 
632	877	:	45 36 
633	848	:	51 36 
634	915	:	67 36 
635	771	:	75 36 
636	816	:	76 36 
637	914	:	71 36 
638	1254	:	96 
639	795	:	53 96 
640	809	:	89 96 
641	801	:	35 96 
642	770	:	23 96 
643	800	:	5 96 
644	799	:	31 96 
645	824	:	91 96 
646	750	:	4 96 
647	789	:	37 96 
648	765	:	73 96 
649	810	:	10 96 
650	824	:	68 96 
651	831	:	62 96 
652	802	:	29 96 
653	830	:	52 96 
654	845	:	49 96 
655	888	:	45 96 
656	819	:	51 96 
657	851	:	67 96 
658	829	:	75 96 
659	844	:	76 96 
660	895	:	71 96 
661	1263	:	53 
662	791	:	89 53 
663	752	:	35 53 
664	851	:	84 53 
665	783	:	5 53 
666	871	:	31 53 
667	777	:	4 53 
668	769	:	37 53 
669	780	:	73 53 
670	830	:	10 53 
671	786	:	68 53 
672	824	:	62 53 
673	832	:	29 53 
674	823	:	52 53 
675	789	:	49 53 
676	856	:	45 53 
677	832	:	67 53 
678	858	:	75 53 
679	821	:	76 53 
680	881	:	71 53 
681	1265	:	89 
682	759	:	35 89 
683	815	:	23 89 
684	768	:	84 89 
685	763	:	5 89 
686	797	:	31 89 
687	796	:	91 89 
688	778	:	4 89 
689	813	:	37 89 
690	754	:	73 89 
691	834	:	10 89 
692	812	:	68 89 
693	860	:	62 89 
694	808	:	29 89 
695	846	:	52 89 
696	900	:	49 89 
697	931	:	45 89 
698	845	:	51 89 
699	839	:	67 89 
700	842	:	75 89 
701	861	:	76 89 
702	909	:	71 89 
703	1266	:	33 
704	802	:	35 33 
705	811	:	23 33 
706	769	:	84 33 
707	762	:	60 33 
708	773	:	5 33 
709	760	:	91 33 
710	863	:	4 33 
711	806	:	37 33 
712	811	:	73 33 
713	825	:	10 33 
714	787	:	68 33 
715	820	:	62 33 
716	780	:	29 33 
717	837	:	52 33 
718	850	:	49 33 
719	827	:	45 33 
720	853	:	51 33 
721	823	:	67 33 
722	841	:	75 33 
723	838	:	76 33 
724	875	:	71 33 
725	1282	:	35 
726	788	:	23 35 
727	934	:	84 35 
728	802	:	60 35 
729	758	:	31 35 
730	768	:	91 35 
731	848	:	4 35 
732	801	:	37 35 
733	829	:	10 35 
734	844	:	68 35 
735	772	:	62 35 
736	860	:	29 35 
737	832	:	52 35 
738	831	:	49 35 
739	810	:	45 35 
740	888	:	51 35 
741	812	:	67 35 
742	836	:	75 35 
743	835	:	76 35 
744	920	:	71 35 
745	1296	:	23 
746	831	:	84 23 
747	816	:	60 23 
748	861	:	5 23 
749	799	:	31 23 
750	793	:	91 23 
751	791	:	4 23 
752	843	:	37 23 
753	847	:	73 23 
754	831	:	10 23 
755	825	:	68 23 
756	857	:	62 23 
757	837	:	29 23 
758	860	:	52 23 
759	836	:	49 23 
760	799	:	45 23 
761	879	:	51 23 
762	828	:	67 23 
763	859	:	75 23 
764	879	:	76 23 
765	860	:	71 23 
766	1299	:	84 
767	765	:	60 84 
768	832	:	31 84 
769	873	:	91 84 
770	844	:	4 84 
771	822	:	37 84 
772	782	:	73 84 
773	761	:	10 84 
774	855	:	68 84 
775	833	:	62 84 
776	850	:	29 84 
777	810	:	52 84 
778	868	:	49 84 
779	802	:	45 84 
780	905	:	51 84 
781	836	:	67 84 
782	906	:	75 84 
783	902	:	76 84 
784	916	:	71 84 
785	1300	:	60 
786	789	:	5 60 
787	787	:	31 60 
788	842	:	91 60 
789	842	:	37 60 
790	806	:	73 60 
791	820	:	10 60 
792	816	:	68 60 
793	785	:	62 60 
794	872	:	29 60 
795	842	:	52 60 
796	816	:	49 60 
797	776	:	45 60 
798	920	:	51 60 
799	868	:	67 60 
800	777	:	75 60 
801	882	:	76 60 
802	969	:	71 60 
803	1312	:	5 
804	812	:	31 5 
805	853	:	91 5 
806	788	:	4 5 
807	765	:	37 5 
808	759	:	73 5 
809	782	:	10 5 
810	897	:	68 5 
811	868	:	62 5 
812	868	:	29 5 
813	917	:	52 5 
814	875	:	49 5 
815	919	:	45 5 
816	808	:	51 5 
817	910	:	67 5 
818	857	:	75 5 
819	867	:	76 5 
820	930	:	71 5 
821	1316	:	31 
822	759	:	91 31 
823	860	:	4 31 
824	844	:	37 31 
825	819	:	73 31 
826	867	:	10 31 
827	860	:	68 31 
828	849	:	62 31 
829	851	:	29 31 
830	854	:	52 31 
831	830	:	49 31 
832	907	:	45 31 
833	814	:	51 31 
834	900	:	67 31 
835	889	:	75 31 
836	935	:	76 31 
837	750	:	71 76 31 
838	959	:	71 31 
839	1311	:	91 
840	813	:	4 91 
841	834	:	37 91 
842	753	:	10 91 
843	822	:	68 91 
844	820	:	62 91 
845	922	:	29 91 
846	813	:	52 91 
847	933	:	49 91 
848	892	:	45 91 
849	906	:	51 91 
850	884	:	67 91 
851	882	:	75 91 
852	917	:	76 91 
853	933	:	71 91 
854	1311	:	4 
855	808	:	37 4 
856	760	:	73 4 
857	854	:	10 4 
858	826	:	68 4 
859	870	:	62 4 
860	827	:	29 4 
861	866	:	52 4 
862	833	:	49 4 
863	866	:	45 4 
864	856	:	51 4 
865	821	:	67 4 
866	919	:	75 4 
867	855	:	76 4 
868	901	:	71 4 
869	1318	:	37 
870	840	:	73 37 
871	840	:	10 37 
872	911	:	68 37 
873	815	:	62 37 
874	778	:	29 37 
875	903	:	52 37 
876	792	:	49 37 
877	801	:	45 37 
878	875	:	51 37 
879	935	:	67 37 
880	786	:	71 67 37 
881	850	:	75 37 
882	878	:	76 37 
883	1003	:	71 37 
884	1342	:	73 
885	834	:	10 73 
886	849	:	68 73 
887	787	:	62 73 
888	839	:	29 73 
889	885	:	52 73 
890	813	:	49 73 
891	899	:	45 73 
892	815	:	51 73 
893	872	:	67 73 
894	785	:	75 73 
895	911	:	76 73 
896	887	:	71 73 
897	1333	:	10 
898	888	:	68 10 
899	818	:	62 10 
900	836	:	29 10 
901	855	:	52 10 
902	807	:	49 10 
903	926	:	45 10 
904	759	:	71 45 10 
905	863	:	51 10 
906	903	:	67 10 
907	922	:	75 10 
908	878	:	76 10 
909	963	:	71 10 
910	1390	:	68 
911	821	:	62 68 
912	847	:	29 68 
913	872	:	52 68 
914	858	:	49 68 
915	854	:	45 68 
916	838	:	51 68 
917	909	:	67 68 
918	888	:	75 68 
919	891	:	76 68 
920	968	:	71 68 
921	1406	:	62 
922	894	:	29 62 
923	974	:	52 62 
924	895	:	49 62 
925	865	:	45 62 
926	906	:	51 62 
927	867	:	67 62 
928	940	:	75 62 
929	771	:	76 75 62 
930	961	:	76 62 
931	921	:	71 62 
932	1396	:	29 
933	898	:	52 29 
934	903	:	49 29 
935	977	:	45 29 
936	773	:	76 45 29 
937	957	:	51 29 
938	755	:	76 51 29 
939	902	:	67 29 
940	874	:	75 29 
941	982	:	76 29 
942	960	:	71 29 
943	1431	:	52 
944	945	:	49 52 
945	905	:	45 52 
946	906	:	51 52 
947	908	:	67 52 
948	920	:	75 52 
949	968	:	76 52 
950	969	:	71 52 
951	1469	:	49 
952	939	:	45 49 
953	1003	:	51 49 
954	766	:	67 51 49 
955	755	:	76 51 49 
956	975	:	67 49 
957	760	:	71 67 49 
958	889	:	75 49 
959	918	:	76 49 
960	952	:	71 49 
961	1445	:	45 
962	925	:	51 45 
963	757	:	76 51 45 
964	934	:	67 45 
965	756	:	71 67 45 
966	1030	:	75 45 
967	789	:	76 75 45 
968	763	:	71 75 45 
969	1044	:	76 45 
970	815	:	71 76 45 
971	1041	:	71 45 
972	1456	:	51 
973	955	:	67 51 
974	754	:	71 67 51 
975	930	:	75 51 
976	770	:	76 75 51 
977	1038	:	76 51 
978	753	:	71 76 51 
979	972	:	71 51 
980	1547	:	67 
981	887	:	75 67 
982	912	:	76 67 
983	1067	:	71 67 
984	1592	:	75 
985	1028	:	76 75 
986	759	:	71 76 75 
987	981	:	71 75 
988	1469	:	76 
989	1033	:	71 76 
990	1504	:	71 
