line	size		transaction item
103	59	:	1 3 4 6 7 9 10 11 12 14 15 16 18 19 20 21 22 23 24 26 29 32 36 37 39 40 42 44 45 47 48 49 50 52 54 61 62 63 65 66 67 68 69 70 73 74 75 77 80 82 83 85 87 88 89 90 94 98 100 
104	50	:	2 3 5 6 9 11 12 16 20 21 23 25 28 30 33 34 36 37 38 40 41 42 44 46 47 48 49 50 55 56 57 59 64 66 67 68 70 73 77 78 81 84 87 91 92 93 94 96 97 98 
105	49	:	1 5 6 11 15 17 20 22 24 25 27 28 29 30 31 33 34 36 37 40 42 43 46 47 49 50 51 52 53 57 59 61 62 63 65 67 68 72 75 78 80 82 84 87 88 95 96 99 100 
106	54	:	2 3 4 5 6 9 10 11 13 16 17 19 20 21 24 26 28 30 31 32 34 35 36 40 41 42 43 44 45 50 53 54 61 62 64 65 67 69 73 76 77 81 87 88 90 91 92 93 94 96 97 98 99 100 
107	15	:	8 17 22 27 43 49 52 64 73 75 79 81 84 86 97 
108	68	:	1 2 4 6 7 8 10 11 13 15 16 17 18 19 20 21 22 24 25 26 27 28 29 30 31 37 39 40 41 42 44 48 49 50 52 53 55 58 59 60 61 63 64 65 67 68 69 70 71 72 74 75 76 79 80 81 82 84 85 88 89 90 91 92 95 97 99 100 
109	64	:	1 2 4 6 7 9 11 12 13 17 18 19 20 22 24 25 27 28 29 30 33 34 36 37 38 39 40 42 46 47 48 49 50 52 53 54 56 59 60 61 62 63 64 65 66 68 69 72 74 75 76 77 78 80 82 87 88 89 90 95 96 98 99 100 
110	29	:	4 5 17 19 24 28 29 30 33 39 43 45 52 54 60 65 67 69 71 76 77 79 81 82 88 94 96 98 100 
111	28	:	4 10 13 18 29 35 36 40 43 47 48 49 51 60 63 64 65 68 77 80 82 83 85 88 91 92 95 98 
112	31	:	3 9 10 13 17 26 32 37 38 40 43 47 48 49 50 51 60 63 65 77 78 80 83 87 88 90 91 92 95 97 100 
113	72	:	2 3 4 5 6 8 11 12 13 14 15 16 19 21 22 23 24 26 28 29 30 31 32 34 35 36 37 38 39 40 43 44 45 46 47 49 50 52 54 55 57 58 59 60 63 64 65 66 67 68 69 70 72 73 74 76 77 79 80 82 83 84 85 88 89 91 92 93 95 96 98 100 
114	65	:	1 3 4 6 7 9 11 12 14 15 17 19 20 21 22 23 24 25 26 27 28 29 31 32 34 35 36 37 40 42 44 47 48 49 50 53 55 58 60 61 62 63 65 67 68 69 70 73 75 76 77 78 80 82 83 87 88 90 91 94 95 96 98 99 100 
115	43	:	1 2 3 4 5 6 7 11 15 18 20 21 24 25 27 36 37 39 40 41 44 53 59 61 63 64 67 68 71 73 80 84 85 89 90 91 92 93 95 96 97 99 100 
116	73	:	1 2 3 4 7 8 10 11 12 13 14 15 16 18 19 20 21 22 23 24 25 26 27 28 30 31 32 35 36 37 38 39 40 41 42 43 49 50 52 53 55 56 58 59 60 61 63 64 65 66 67 68 69 70 75 76 79 80 81 82 83 85 86 88 90 91 92 93 95 97 98 99 100 
117	57	:	1 4 7 11 12 13 14 15 16 19 24 27 28 30 34 37 38 39 40 42 46 47 49 50 51 52 53 54 56 58 60 61 62 63 64 65 66 67 68 69 71 72 76 77 78 80 82 83 84 85 87 88 89 91 95 98 100 
118	35	:	3 4 5 8 13 15 16 17 19 20 22 26 31 32 35 40 43 44 46 47 49 65 66 67 68 70 74 79 82 83 84 85 88 96 98 
119	40	:	1 2 3 7 8 11 12 13 16 18 21 27 31 38 39 41 42 44 45 49 51 53 58 60 65 66 69 73 75 82 83 84 85 86 87 88 90 96 97 100 
120	35	:	2 4 11 16 19 24 28 30 35 36 46 50 52 54 56 60 61 63 64 67 68 69 71 72 76 77 80 81 87 88 89 90 95 98 100 
121	42	:	2 9 11 12 14 17 19 23 24 28 29 30 31 32 33 38 42 47 52 54 60 61 66 67 68 69 70 72 73 75 76 77 78 81 83 84 88 90 93 94 98 100 
122	42	:	4 6 7 9 10 11 12 14 16 17 20 22 23 24 32 37 41 42 43 45 49 54 57 60 61 65 66 67 72 73 75 80 82 83 85 87 89 91 94 95 96 98 
123	66	:	4 5 7 12 13 14 17 18 20 21 22 23 24 26 29 30 32 33 38 39 40 41 43 45 46 48 50 51 52 53 54 56 57 60 61 62 63 65 66 67 68 69 70 71 72 73 75 77 79 80 81 82 83 85 86 88 89 90 91 92 93 94 95 96 98 100 
124	65	:	1 2 3 4 5 6 10 12 13 14 15 17 18 19 20 21 23 24 27 29 30 32 35 36 39 40 41 43 44 47 48 49 51 55 56 57 58 59 60 61 63 65 66 67 68 69 70 73 75 77 78 80 82 83 87 90 91 92 93 95 96 97 98 99 100 
125	74	:	2 3 4 6 9 10 11 12 13 14 16 17 18 19 23 24 25 26 28 29 31 32 35 36 37 38 39 40 41 43 44 47 48 49 50 51 52 53 55 57 60 61 62 63 64 65 66 68 69 70 71 72 73 75 76 77 78 82 83 84 85 87 88 89 90 91 92 94 95 96 97 98 99 100 
126	67	:	1 2 3 4 5 6 7 8 10 11 13 15 16 17 19 21 22 25 26 28 29 31 35 37 40 41 42 43 45 46 47 49 50 52 53 54 55 58 59 60 61 62 63 64 65 66 69 70 72 73 74 75 76 78 81 82 85 87 88 89 90 91 92 94 95 96 98 
127	55	:	1 2 4 6 7 8 9 10 11 15 17 18 20 23 25 26 29 33 34 36 37 39 40 42 44 48 51 53 59 60 61 63 65 67 68 71 72 74 75 76 77 79 80 81 82 84 87 89 90 91 92 97 98 99 100 
128	61	:	2 3 4 8 10 11 12 13 16 21 22 23 24 25 26 27 30 31 32 35 37 38 39 40 41 42 43 46 47 48 49 51 53 54 55 58 59 60 61 64 65 66 67 68 69 70 71 78 79 82 85 87 88 89 90 91 92 96 97 99 100 
129	54	:	1 2 4 6 7 8 11 13 15 16 19 20 22 25 27 28 29 30 35 36 37 38 42 44 46 47 48 50 51 52 53 54 55 58 59 60 61 63 64 65 66 67 68 70 72 75 76 82 87 88 89 95 96 99 
130	16	:	1 11 15 19 37 50 52 58 60 61 63 70 75 76 82 95 
131	42	:	6 11 15 18 20 22 25 27 28 29 34 36 38 39 40 42 44 46 47 49 53 59 61 62 63 64 65 66 68 71 72 73 74 75 76 82 87 88 93 95 96 99 
132	60	:	2 4 5 11 12 14 15 17 19 20 21 23 24 27 28 29 30 31 32 33 34 37 40 43 45 46 47 48 49 51 52 54 55 57 59 61 62 67 68 69 70 71 72 73 74 75 77 78 80 82 83 84 87 88 90 91 92 95 96 100 
133	58	:	1 2 4 5 6 7 10 13 14 15 16 17 18 19 21 24 26 27 28 30 31 36 37 38 39 40 42 43 46 49 52 54 56 58 59 60 61 63 64 65 66 67 68 70 74 76 78 83 84 85 89 90 91 92 95 98 99 100 
134	73	:	2 4 6 7 9 11 12 13 14 15 16 17 18 19 21 22 23 24 25 26 28 29 30 31 32 34 36 37 38 39 40 42 44 45 46 47 48 50 51 53 57 58 59 61 62 63 66 67 68 69 70 71 73 75 76 77 78 80 83 84 85 87 89 90 91 93 94 95 96 97 98 99 100 
135	55	:	1 2 3 6 8 9 11 12 14 17 21 22 23 24 26 27 30 31 32 33 34 37 38 39 40 41 44 45 48 49 50 53 55 56 57 59 65 66 72 77 78 82 83 84 87 88 90 91 92 93 95 96 97 98 100 
136	66	:	1 2 5 6 10 11 12 13 14 15 16 17 19 20 21 22 23 24 26 27 29 32 35 37 38 39 40 41 42 43 44 45 48 50 52 53 54 56 58 60 61 63 65 66 67 69 70 74 75 76 78 80 82 83 84 85 87 88 90 91 92 93 94 95 99 100 
137	47	:	1 2 6 7 11 12 13 14 15 17 21 22 24 25 29 30 32 35 38 40 43 44 45 48 50 51 53 54 58 61 62 65 67 70 76 78 82 85 87 88 89 90 91 93 95 99 100 
138	28	:	3 9 14 17 23 24 26 32 37 38 40 50 61 65 68 69 70 73 75 77 78 83 87 88 90 95 97 100 
139	12	:	2 4 16 24 30 35 36 50 64 81 90 98 
140	31	:	2 3 6 9 10 12 13 17 19 25 26 28 30 34 36 40 46 49 52 56 57 59 60 65 76 78 82 84 92 99 100 
